county_fips,County Name,State,Population,date,stages
01001,Autauga County,AL,55601,3/30/2020,2
01003,Baldwin County,AL,218022,3/30/2020,2
01005,Barbour County,AL,24881,3/30/2020,0
01007,Bibb County,AL,22400,3/30/2020,1
01009,Blount County,AL,57840,3/30/2020,2
01011,Bullock County,AL,10138,3/30/2020,1
01013,Butler County,AL,19680,3/30/2020,1
01015,Calhoun County,AL,114277,3/30/2020,2
01017,Chambers County,AL,33615,3/30/2020,3
01019,Cherokee County,AL,26032,3/30/2020,1
01021,Chilton County,AL,44153,3/30/2020,2
01023,Choctaw County,AL,12841,3/30/2020,1
01025,Clarke County,AL,23920,3/30/2020,0
01027,Clay County,AL,13275,3/30/2020,1
01029,Cleburne County,AL,14987,3/30/2020,2
01031,Coffee County,AL,51909,3/30/2020,0
01033,Colbert County,AL,54762,3/30/2020,2
01035,Conecuh County,AL,12277,3/30/2020,0
01037,Coosa County,AL,10715,3/30/2020,2
01039,Covington County,AL,36986,3/30/2020,1
01041,Crenshaw County,AL,13824,3/30/2020,1
01043,Cullman County,AL,83442,3/30/2020,2
01045,Dale County,AL,48956,3/30/2020,0
01047,Dallas County,AL,38310,3/30/2020,1
01049,DeKalb County,AL,71385,3/30/2020,2
01051,Elmore County,AL,81887,3/30/2020,2
01053,Escambia County,AL,36748,3/30/2020,1
01055,Etowah County,AL,102501,3/30/2020,2
01057,Fayette County,AL,16433,3/30/2020,1
01059,Franklin County,AL,31363,3/30/2020,1
01061,Geneva County,AL,26314,3/30/2020,0
01063,Greene County,AL,8233,3/30/2020,1
01065,Hale County,AL,14726,3/30/2020,1
01067,Henry County,AL,17209,3/30/2020,0
01069,Houston County,AL,104722,3/30/2020,2
01071,Jackson County,AL,51736,3/30/2020,2
01073,Jefferson County,AL,659300,3/30/2020,3
01075,Lamar County,AL,13844,3/30/2020,1
01077,Lauderdale County,AL,92387,3/30/2020,2
01079,Lawrence County,AL,32957,3/30/2020,1
01081,Lee County,AL,163941,3/30/2020,3
01083,Limestone County,AL,96174,3/30/2020,3
01085,Lowndes County,AL,9974,3/30/2020,1
01087,Macon County,AL,18439,3/30/2020,1
01089,Madison County,AL,366519,3/30/2020,4
01091,Marengo County,AL,19066,3/30/2020,2
01093,Marion County,AL,29763,3/30/2020,2
01095,Marshall County,AL,96109,3/30/2020,2
01097,Mobile County,AL,413757,3/30/2020,3
01099,Monroe County,AL,21067,3/30/2020,1
01101,Montgomery County,AL,225763,3/30/2020,2
01103,Morgan County,AL,119089,3/30/2020,2
01105,Perry County,AL,9140,3/30/2020,0
01107,Pickens County,AL,19938,3/30/2020,1
01109,Pike County,AL,33338,3/30/2020,2
01111,Randolph County,AL,22725,3/30/2020,1
01113,Russell County,AL,57781,3/30/2020,1
01115,St. Clair County,AL,88690,3/30/2020,2
01117,Shelby County,AL,215707,3/30/2020,3
01119,Sumter County,AL,12691,3/30/2020,1
01121,Talladega County,AL,79828,3/30/2020,2
